1696134894.6381578,"Venn Gene","Bruce Liu",0,4
1696134894.6381578,"Single-sample T-Test","Kimia Mofid",0,7
1696134894.6381578,"Wide Range Paper Word Analysis","Bruce Liu",0,11
1696134894.6381578,"Latex OCR","Paul Duan",0,2
1696134894.6381578,"facial recognition training","Peter Duan",1,10
1696134894.6381578,"Customized Venn2 1.0","Bruce Liu",1,8
1696134894.6381578,"ChatGPT raw text model (API driven)","Bruce Liu",0,19
1696134894.6381578,"Real-ESRGAN","Samir Mitha",2,26
1696134894.6381578,"PDF Splitter","Raymond Qu",1,4
1696134894.6381578,"Paint Transformer","Peter Duan",1,68
1696134894.6381578,"Voice Conversion","Paul Duan",0,14
1696134894.6381578,"Voice Cloning","Paul Duan",2,21
1696134894.6381578,"Single Shot Image De-noising","Dionysios Balasis",2,27
1696134894.6381578,"Histogram Equalization","Dionysios Balasis",4,141
1696134894.6381578,"Efficient Focus Quality Assessment for Digital Pathology (FocusLiteNN)","Zhongling Wang",1,26
1696134894.6381578,"PUBMED X CSE Citation","Bruce Liu",1,13
1696134894.6381578,"AI Art Generator","Rick Sugden",4,261
1696134894.6381578,"PUBMED Paper Scraper","Bruce Liu",2,19
1696134894.6381578,"Cartoon Painting Effect","Oumaima Essamadi",0,15
1696134894.6381578,"Image Classification","Kevin Faust",2,43
1696134894.6381578,"Text to Image (Stable Diffusion XL 1.0)","Peter Duan",2,93
1696134894.6381578,"Music Generator (melody + text)","Peter Duan",1,11
1696134894.6381578,"OpenCv-Super Image Enhancement","Dionysios Balasis",0,9
1696134894.6381578,"facial recognition testing","Peter Duan",1,18
1696134894.6381578,"LaTeX2SVG","Peter Duan",3,15
1696134894.6381578,"Random Password Generator","Dionysios Balasis",0,4
1696134894.6381578,"QR Code Generator","Dionysios Balasis",2,17
1696134894.6381578,"Simple RNA to Protein Converter","Bruce Liu",1,5
1696134894.6381578,"Music Generator (text only)","Peter Duan",3,40
1696134894.6381578,"MLP-SRGAN","IAMLAB, Toronto Metropolitan University",1,24
1696134894.6381578,"Watermark PDF","Paul Duan",2,14
1696134894.6381578,"Image to PDF Converter","Dionysios Balasis",0,21
1696134894.6381578,"IHC Nuclear Counter","Jesse Provost",1,17
1696134894.6381578,"PDF Merger","Oumaima Essamadi",0,30
