Timestamp,Name,Author,Ups,Runs
1701405382.5914173,"Image Sharpening using 2D Convolution","Dionysios Balasis",5,73
1701405382.5914173,"Cell Counting #COMP_1","Bruce Liu",0,23
1701405382.5914173,"Histogram Equalization","Dionysios Balasis",4,141
1701405382.5914173,"Voice Cloning","Paul Duan",2,21
1701405382.5914173,"PUBMED Paper Scraper","Bruce Liu",2,19
1701405382.5914173,"Anime Style Generator (AnimeGANv2)","Peter Duan",2,37
1701405382.5914173,"Watermark PDF","Paul Duan",2,14
1701405382.5914173,"Histomic Atlases of Variation of Cancer (HAVOC)","Kevin Faust",3,226
1701405382.5914173,"Voice Conversion","Paul Duan",0,14
1701405382.5914173,"PUBMED X CSE Citation","Bruce Liu",1,13
1701405382.5914173,"QR Code Generator","Dionysios Balasis",2,17
1701405382.5914173,"Text to Image (Stable Diffusion XL 1.0)","Peter Duan",2,96
1701405382.5914173,"Nuclei Segmentation #COMP_1","Peter Duan",2,28
1701405382.5914173,"facial recognition training","Peter Duan",1,10
1701405382.5914173,"Music Generator (melody + text)","Peter Duan",1,11
1701405382.5914173,"HAVOC Multi Slide Correlation Map","Kevin Faust",2,47
1701405382.5914173,"LaTeX2SVG","Peter Duan",3,15
1701405382.5914173,"PDF Merger","Oumaima Essamadi",0,30
1701405382.5914173,"Cartoon Painting Effect","Oumaima Essamadi",1,15
1701405382.5914173,"AI Art Generator","Rick Sugden",5,261
1701405382.5914173,"SRGAN","Samir Mitha",0,15
1701405382.5914173,"Heatmap/Clustermap Generator","Raymond Qu",1,20
1701405382.5914173,"PMC Paper Analysis V1","Bruce Liu",1,41
1701405382.5914173,"MLP-SRGAN","IAMLAB, Toronto Metropolitan University",1,24
1701405382.5914173,"Image Classification","Kevin Faust",2,43
1701405382.5914173,"Wide Range Paper Word Analysis","Bruce Liu",0,11
1701405382.5914173,"Single Shot Image De-noising","Dionysios Balasis",2,27
1701405382.5914173,"Customized Venn2 1.0","Bruce Liu",1,8
1701405382.5914173,"Artistic QR Code","Peter Duan",1,86
1701405382.5914173,"Venn Gene","Bruce Liu",0,4
1701405382.5914173,"Speech Recognition","Paul Duan",0,3
1701405382.5914173,"URL Shortener","Dionysios Balasis",2,5
1701405382.5914173,"PDF Splitter","Raymond Qu",1,4
1701405382.5914173,"OpenCv-Super Image Enhancement","Dionysios Balasis",0,9
1701405382.5914173,"Tissue region profiler (HAVOC - Hovernet)","Alberto Leon",2,34
