Timestamp,Name,Author,Ups,Runs
1687858677.3363996,"facial recognition training","Peter Duan",1,10
1687858677.3363996,"Customized Venn2 1.0","Bruce Liu",1,8
1687858677.3363996,"Paint Transformer","Peter Duan",1,59
1687858677.3363996,"QR Code Generator","Dionysios Balasis",2,17
1687858677.3363996,"Histogram Equalization","Dionysios Balasis",4,141
1687858677.3363996,"MLP-SRGAN","IAMLAB, Toronto Metropolitan University",1,24
1687858677.3363996,"Single Shot Image De-noising","Dionysios Balasis",2,27
1687858677.3363996,"HAVOC Multi Slide Correlation Map","Kevin Faust",2,47
1687858677.3363996,"ChatGPT raw text model (API driven)","Bruce Liu",0,17
1687858677.3363996,"Tesseract OCR","Paul Duan",3,14
1687858677.3363996,"Random Password Generator","Dionysios Balasis",0,4
1687858677.3363996,"PUBMED Paper Scraper","Bruce Liu",1,14
1687858677.3363996,"Physics-Guided Deep Image Prior network for Stain deconvolution (PGDIPS)","Jianan Chen -- Sunnybrook Research Institute",1,38
1687858677.3363996,"PMC Paper Analysis V1","Bruce Liu",1,41
1687858677.3363996,"PUBMED X CSE Citation","Bruce Liu",1,13
1687858677.3363996,"Voice Cloning","Paul Duan",2,21
1687858677.3363996,"PDF Splitter","Raymond Qu",1,4
1687858677.3363996,"Venn Gene","Bruce Liu",0,3
1687858677.3363996,"facial recognition testing","Peter Duan",1,18
1687858677.3363996,"Efficient Focus Quality Assessment for Digital Pathology (FocusLiteNN)","Zhongling Wang",1,18
1687858677.3363996,"Histomic Atlases of Variation of Cancer (HAVOC)","Kevin Faust",3,189
1687858677.3363996,"Single-sample T-Test","Kimia Mofid",0,1
1687858677.3363996,"Anime Style Generator (AnimeGANv2)","Peter Duan",2,37
1687858677.3363996,"Image Classification","Kevin Faust",2,43
1687858677.3363996,"Real-ESRGAN","Samir Mitha",1,24
1687858677.3363996,"LaTeX2SVG","Peter Duan",3,14
1687858677.3363996,"Voice Conversion","Paul Duan",0,14
1687858677.3363996,"Wide Range Paper Word Analysis","Bruce Liu",0,11
1687858677.3363996,"Image Sharpening using 2D Convolution","Dionysios Balasis",4,67
1687858677.3363996,"Simple RNA to Protein Converter","Bruce Liu",1,5
1687858677.3363996,"PDF Merger","Oumaima Essamadi",0,24
1687858677.3363996,"Image to PDF Converter","Dionysios Balasis",0,21
1687858677.3363996,"Watermark PDF","Paul Duan",2,14
1687858677.3363996,"AI Art Generator","Rick Sugden",4,257
1687862462.8381724,"Efficient Focus Quality Assessment for Digital Pathology (FocusLiteNN)","Zhongling Wang",1,18
1687862462.8381724,"Histomic Atlases of Variation of Cancer (HAVOC)","Kevin Faust",3,189
1687862462.8381724,"Simple RNA to Protein Converter","Bruce Liu",1,5
1687862462.8381724,"AI Art Generator","Rick Sugden",4,257
1687862462.8381724,"HAVOC Multi Slide Correlation Map","Kevin Faust",2,47
1687862462.8381724,"Tesseract OCR","Paul Duan",3,14
1687862462.8381724,"MLP-SRGAN","IAMLAB, Toronto Metropolitan University",1,24
1687862462.8381724,"Anime Style Generator (AnimeGANv2)","Peter Duan",2,37
1687862462.8381724,"Customized Venn2 1.0","Bruce Liu",1,8
1687862462.8381724,"Image to PDF Converter","Dionysios Balasis",0,21
1687862462.8381724,"Physics-Guided Deep Image Prior network for Stain deconvolution (PGDIPS)","Jianan Chen -- Sunnybrook Research Institute",1,38
1687862462.8381724,"Real-ESRGAN","Samir Mitha",1,24
1687862462.8381724,"Paint Transformer","Peter Duan",1,59
1687862462.8381724,"Single Shot Image De-noising","Dionysios Balasis",2,27
1687862462.8381724,"Venn Gene","Bruce Liu",0,3
1687862462.8381724,"Random Password Generator","Dionysios Balasis",0,4
1687862462.8381724,"PDF Merger","Oumaima Essamadi",0,24
1687862462.8381724,"ChatGPT raw text model (API driven)","Bruce Liu",0,17
1687862462.8381724,"facial recognition training","Peter Duan",1,10
1687862462.8381724,"PMC Paper Analysis V1","Bruce Liu",1,41
1687862462.8381724,"PUBMED X CSE Citation","Bruce Liu",1,13
1687862462.8381724,"PDF Splitter","Raymond Qu",1,4
1687862462.8381724,"PUBMED Paper Scraper","Bruce Liu",1,14
1687862462.8381724,"QR Code Generator","Dionysios Balasis",2,17
1687862462.8381724,"Histogram Equalization","Dionysios Balasis",4,141
1687862462.8381724,"LaTeX2SVG","Peter Duan",3,14
1687862462.8381724,"Image Classification","Kevin Faust",2,43
1687862462.8381724,"Wide Range Paper Word Analysis","Bruce Liu",0,11
1687862462.8381724,"Voice Cloning","Paul Duan",2,21
1687862462.8381724,"Image Sharpening using 2D Convolution","Dionysios Balasis",4,67
1687862462.8381724,"facial recognition testing","Peter Duan",1,18
1687862462.8381724,"Single-sample T-Test","Kimia Mofid",0,1
1687862462.8381724,"Voice Conversion","Paul Duan",0,14
1687862462.8381724,"Watermark PDF","Paul Duan",2,14
1687865851.2241478,"Real-ESRGAN","Samir Mitha",1,24
1687865851.2241478,"Venn Gene","Bruce Liu",0,3
1687865851.2241478,"LaTeX2SVG","Peter Duan",3,14
1687865851.2241478,"Image to PDF Converter","Dionysios Balasis",0,21
1687865851.2241478,"PMC Paper Analysis V1","Bruce Liu",1,41
1687865851.2241478,"Tesseract OCR","Paul Duan",3,14
1687865851.2241478,"PDF Splitter","Raymond Qu",1,4
1687865851.2241478,"Histomic Atlases of Variation of Cancer (HAVOC)","Kevin Faust",3,189
1687865851.2241478,"Wide Range Paper Word Analysis","Bruce Liu",0,11
1687865851.2241478,"Voice Conversion","Paul Duan",0,14
1687865851.2241478,"Physics-Guided Deep Image Prior network for Stain deconvolution (PGDIPS)","Jianan Chen -- Sunnybrook Research Institute",1,38
1687865851.2241478,"AI Art Generator","Rick Sugden",4,257
1687865851.2241478,"PDF Merger","Oumaima Essamadi",0,24
1687865851.2241478,"Voice Cloning","Paul Duan",2,21
1687865851.2241478,"Single-sample T-Test","Kimia Mofid",0,1
1687865851.2241478,"Random Password Generator","Dionysios Balasis",0,4
1687865851.2241478,"facial recognition training","Peter Duan",1,10
1687865851.2241478,"HAVOC Multi Slide Correlation Map","Kevin Faust",2,47
1687865851.2241478,"Simple RNA to Protein Converter","Bruce Liu",1,5
1687865851.2241478,"PUBMED X CSE Citation","Bruce Liu",1,13
1687865851.2241478,"Anime Style Generator (AnimeGANv2)","Peter Duan",2,37
1687865851.2241478,"ChatGPT raw text model (API driven)","Bruce Liu",0,17
1687865851.2241478,"Single Shot Image De-noising","Dionysios Balasis",2,27
1687865851.2241478,"Histogram Equalization","Dionysios Balasis",4,141
1687865851.2241478,"PUBMED Paper Scraper","Bruce Liu",1,14
1687865851.2241478,"Image Sharpening using 2D Convolution","Dionysios Balasis",4,67
1687865851.2241478,"QR Code Generator","Dionysios Balasis",2,17
1687865851.2241478,"Watermark PDF","Paul Duan",2,14
1687865851.2241478,"Customized Venn2 1.0","Bruce Liu",1,8
1687865851.2241478,"Paint Transformer","Peter Duan",1,59
1687865851.2241478,"facial recognition testing","Peter Duan",1,18
1687865851.2241478,"MLP-SRGAN","IAMLAB, Toronto Metropolitan University",1,24
1687865851.2241478,"Efficient Focus Quality Assessment for Digital Pathology (FocusLiteNN)","Zhongling Wang",1,18
1687865851.2241478,"Image Classification","Kevin Faust",2,43
1687870825.6880474,"Image to PDF Converter","Dionysios Balasis",0,21
1687870825.6880474,"MLP-SRGAN","IAMLAB, Toronto Metropolitan University",1,24
1687870825.6880474,"PDF Splitter","Raymond Qu",1,4
1687870825.6880474,"ChatGPT raw text model (API driven)","Bruce Liu",0,17
1687870825.6880474,"Image Sharpening using 2D Convolution","Dionysios Balasis",4,67
1687870825.6880474,"Watermark PDF","Paul Duan",2,14
1687870825.6880474,"QR Code Generator","Dionysios Balasis",2,17
1687870825.6880474,"Wide Range Paper Word Analysis","Bruce Liu",0,11
1687870825.6880474,"Voice Cloning","Paul Duan",2,21
1687870825.6880474,"facial recognition testing","Peter Duan",1,18
1687870825.6880474,"Single-sample T-Test","Kimia Mofid",0,1
1687870825.6880474,"Image Classification","Kevin Faust",2,43
1687870825.6880474,"Voice Conversion","Paul Duan",0,14
1687870825.6880474,"PMC Paper Analysis V1","Bruce Liu",1,41
1687870825.6880474,"Histomic Atlases of Variation of Cancer (HAVOC)","Kevin Faust",3,189
1687870825.6880474,"Venn Gene","Bruce Liu",0,3
1687870825.6880474,"Random Password Generator","Dionysios Balasis",0,4
1687870825.6880474,"Anime Style Generator (AnimeGANv2)","Peter Duan",2,37
1687870825.6880474,"Real-ESRGAN","Samir Mitha",1,24
1687870825.6880474,"facial recognition training","Peter Duan",1,10
1687870825.6880474,"Paint Transformer","Peter Duan",1,59
1687870825.6880474,"HAVOC Multi Slide Correlation Map","Kevin Faust",2,47
1687870825.6880474,"Histogram Equalization","Dionysios Balasis",4,141
1687870825.6880474,"LaTeX2SVG","Peter Duan",3,14
1687870825.6880474,"Physics-Guided Deep Image Prior network for Stain deconvolution (PGDIPS)","Jianan Chen -- Sunnybrook Research Institute",1,38
1687870825.6880474,"PUBMED Paper Scraper","Bruce Liu",1,14
1687870825.6880474,"Tesseract OCR","Paul Duan",3,14
1687870825.6880474,"Single Shot Image De-noising","Dionysios Balasis",2,27
1687870825.6880474,"Customized Venn2 1.0","Bruce Liu",1,8
1687870825.6880474,"Efficient Focus Quality Assessment for Digital Pathology (FocusLiteNN)","Zhongling Wang",1,18
1687870825.6880474,"PUBMED X CSE Citation","Bruce Liu",1,13
1687870825.6880474,"AI Art Generator","Rick Sugden",4,257
1687870825.6880474,"Simple RNA to Protein Converter","Bruce Liu",1,5
1687870825.6880474,"PDF Merger","Oumaima Essamadi",0,24
1687873171.566574,"PUBMED X CSE Citation","Bruce Liu",1,13
1687873171.566574,"Voice Cloning","Paul Duan",2,21
1687873171.566574,"Paint Transformer","Peter Duan",1,59
1687873171.566574,"Image Sharpening using 2D Convolution","Dionysios Balasis",4,67
1687873171.566574,"Voice Conversion","Paul Duan",0,14
1687873171.566574,"Tesseract OCR","Paul Duan",3,14
1687873171.566574,"Venn Gene","Bruce Liu",0,3
1687873171.566574,"PUBMED Paper Scraper","Bruce Liu",1,14
1687873171.566574,"MLP-SRGAN","IAMLAB, Toronto Metropolitan University",1,24
1687873171.566574,"Wide Range Paper Word Analysis","Bruce Liu",0,11
1687873171.566574,"Image Classification","Kevin Faust",2,43
1687873171.566574,"PDF Merger","Oumaima Essamadi",0,24
